obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""92.6229""","=""0.0020""","=""92.6225621017""","=""0.0000000005""","=""0.0003""","=""107964.7""","=""""","=""8.2547e-02""","=""2.1234e-03""","=""1.2949e-02""","=""-2.37195""",AAA,"=""0.0000000000""","=""[107965.0548753]""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L8445""",
"=""92.6229""","=""0.0020""","=""92.6225670063""","=""0.0000000005""","=""0.0003""","=""107964.7""","=""""","=""8.2545e-02""","=""1.0617e-03""","=""6.4745e-03""","=""-2.67299""",AAA,"=""0.0000000000""","=""[107965.0491583]""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L8445""",
"=""92.6249""","=""0.0014""","=""92.6225605""","=""0.0000013""","=""0.0023""","=""107962.3""","=""11000""","=""3.8694e-03""","=""3.1850e-03""","=""1.9424e-02""","=""-2.19586""",AAA,"=""0.0000000000""","=""107965.0568""","=""1s""","=""2S""","=""1/2""","=""8""","=""""","=""""",2,128,,"=""T8637""","=""L8834""",
"=""93.074815048""","=""0.000000020""","=""93.074815048""","=""0.000000020""","="" 0.000000000""","=""107440.449866""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""[107440.449866]""","=""1s""","=""2S""","=""1/2""","=""7d""","=""2D""","=""5/2""",2,6,E2,"=""""","=""L15291c37""",
"=""93.07482418""","=""0.00000003""","=""93.07482418""","=""0.00000003""","=""0.00000000""","=""107440.43933""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""[107440.43933]""","=""1s""","=""2S""","=""1/2""","=""7s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""L15291c36""",
"=""93.0749""","=""0.0020""","=""93.07481751""","=""0.00000003""","=""0.0001""","=""107440.3""","=""""","=""1.2362e-01""","=""3.2110e-03""","=""1.9678e-02""","=""-2.19233""",AAA,"=""0.0000000000""","=""[107440.44703]""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L8445""",
"=""93.0749""","=""0.0020""","=""93.07482489""","=""0.00000003""","=""0.0001""","=""107440.3""","=""""","=""1.2362e-01""","=""1.6055e-03""","=""9.8389e-03""","=""-2.49336""",AAA,"=""0.0000000000""","=""[107440.43850]""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L8445""",
"=""93.0751""","=""0.0014""","=""93.0748142""","=""0.0000020""","=""0.0003""","=""107440.1""","=""5600""","=""7.5684e-03""","=""4.8164e-03""","=""2.9516e-02""","=""-2.01625""",AAA,"=""0.0000000000""","=""107440.4508""","=""1s""","=""2S""","=""1/2""","=""7""","=""""","=""""",2,98,,"=""T8637""","=""L8834""",
"=""93.7801""","=""0.0021""","=""93.7803361139""","=""0.0000000009""","=""-0.0002""","=""106632.4""","=""""","=""1.9728e-01""","=""5.2022e-03""","=""3.2122e-02""","=""-1.98278""",AAA,"=""0.0000000000""","=""[106632.1620756]""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L8445""",
"=""93.7801""","=""0.0021""","=""93.7803480320""","=""0.0000000009""","=""-0.0002""","=""106632.4""","=""""","=""1.9728e-01""","=""2.6011e-03""","=""1.6061e-02""","=""-2.28381""",AAA,"=""0.0000000000""","=""[106632.1485242]""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L8445""",
