element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Y,2,"=""361.1043""","=""""","=""361.10430+""","=""""","=""0.0000""","=""27684.93""","=""7800""","=""1.04e+00""","=""2.03e-01""","=""1.21e+01""","=""0.01""",B+,"=""1045.076""","=""28730.010""","=""4d.5s""","=""a 3D""","=""2""","=""4d.5p""","=""z 3D*""","=""2""",5,5,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""362.0940""","=""""","=""362.09363""","=""0.00003""","=""0.0004""","=""27609.27""","=""4300""","=""2.34e+00""","=""3.06e-01""","=""2.19e+01""","=""0.264""",B+,"=""530.351""","=""28139.645""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d.5s.(1D).5p""","=""x 2P*""","=""3/2""",6,4,,"=""T4373""","=""L7610,L3475""",
Y,2,"=""362.8700""","=""""","=""362.87020+""","=""""","=""-0.0002""","=""27550.22""","=""1900""","=""3.29e-01""","=""3.9e-02""","=""2.33e+00""","=""-0.71""",B+,"=""1045.076""","=""28595.285""","=""4d.5s""","=""a 3D""","=""2""","=""4d.5p""","=""z 3D*""","=""1""",5,3,,"=""T4373""","=""L10987,L3475""",
Y,2,"=""363.3121""","=""""","=""363.31212+""","=""""","="" 0.0000""","=""27516.70""","=""7800""","=""1.3e+00""","=""8.e-01""","=""9.e+00""","=""-0.10""",D+,"=""0.000""","=""27516.699""","=""5s2""","=""a 1S""","=""0""","=""4d.5p""","=""z 1P*""","=""1""",1,3,,"=""T4373""","=""L10987,L3475""",
Y,2,"=""366.4610""","=""""","=""366.46107+""","=""""","=""-0.0001""","=""27280.26""","=""3000""","=""3.7e-01""","=""5.3e-02""","=""4.4e+00""","=""-0.43""",B+,"=""1449.752""","=""28730.010""","=""4d.5s""","=""a 3D""","=""3""","=""4d.5p""","=""z 3D*""","=""2""",7,5,,"=""T4373""","=""L10987,L3475""",
Y,2,"=""366.8481""","=""""","=""366.84827+""","=""""","=""-0.0002""","=""27251.48""","=""45""","=""""","=""""","=""""","=""""",,"=""28394.177""","=""55645.642""","=""4d.5p""","=""z 3F*""","=""4""","=""4d.6s""","=""e 3D""","=""3""",9,7,,"=""""","=""L10987,L3475""",
Y,1,"=""369.25234""","=""""","=""369.25229""","=""0.00007""","=""0.00005""","=""27074.045""","=""170""","=""4.2e-02""","=""1.08e-02""","=""1.05e+00""","=""-1.06""",B,"=""17116.156""","=""44190.205""","=""4d.5s.(3D).5p""","=""z 4D*""","=""7/2""","=""5p2.(3P).4d""","=""4F""","=""9/2""",8,10,,"=""T9421""","=""L7610,L3475""",
Y,2,"=""371.0287""","=""""","=""371.02873+""","=""""","="" 0.0000""","=""26944.43""","=""13000""","=""1.54e+00""","=""4.10e-01""","=""3.51e+01""","=""0.458""",B+,"=""1449.752""","=""28394.177""","=""4d.5s""","=""a 3D""","=""3""","=""4d.5p""","=""z 3F*""","=""4""",7,9,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""371.80915""","=""""","=""371.80916""","=""0.00004""","=""-0.00001""","=""26887.871""","=""60""","=""""","=""""","=""""","=""""",,"=""16816.641""","=""43704.511""","=""4d.5s.(3D).5p""","=""z 4D*""","=""5/2""","=""5p2.(3P).4d""","=""4F""","=""7/2""",6,8,,"=""""","=""L7610,L3475""",
Y,1,"=""373.86107""","=""""","=""373.86113""","=""0.00004""","=""-0.00006""","=""26740.301""","=""60""","=""""","=""""","=""""","=""""",,"=""16597.304""","=""43337.601""","=""4d.5s.(3D).5p""","=""z 4D*""","=""3/2""","=""5p2.(3P).4d""","=""4F""","=""5/2""",4,6,,"=""""","=""L7610,L3475""",
Y,2,"=""374.7551""","=""""","=""374.75523+""","=""""","=""-0.0001""","=""26676.51""","=""1200""","=""2.0e-01""","=""4.1e-02""","=""1.5e+00""","=""-0.91""",D+,"=""840.198""","=""27516.699""","=""4d.5s""","=""a 3D""","=""1""","=""4d.5p""","=""z 1P*""","=""1""",3,3,,"=""T4373""","=""L10987,L3475""",
