element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Kr,3,"=""419.591""","=""""","=""419.5818+""","=""""","=""0.009""","=""23826.02""","=""1h""","=""""","=""""","=""""","=""""",,"=""209284.41""","=""233110.95""","=""4s2.4p3.(2P*).5p""","=""3P""","=""1""","=""4s2.4p3.(2D*).5d""","=""3D*""","=""2""",3,5,,"=""""","=""L3356""",
Kr,3,"=""419.825""","=""""","=""419.8250+""","=""""","=""0.000""","=""23812.74""","=""0.5""","=""""","=""""","=""""","=""""",,"=""192701.85""","=""216514.59""","=""4s2.4p3.(2D*).5p""","=""3F""","=""2""","=""4s2.4p3.(4S*).5d""","=""5D*""","=""1""",5,3,,"=""""","=""L7284""",
Kr,2,"=""420.142""","=""""","=""420.1422+""","=""""","="" 0.000""","=""23794.8""","=""30Hl""","=""""","=""""","=""""","=""""",,"=""152314.48""","=""176109.24""","=""4s2.4p4.(1D).5p""","=""2D*""","=""5/2""","=""4s2.4p4.(1D).5d""","=""2D""","=""3/2""",6,4,,"=""""","=""L7386""",
Kr,2,"=""421.788""","=""""","=""421.787+""","=""""","=""0.001""","=""23701.92""","=""2""","=""""","=""""","=""""","=""""",,"=""126000.82""","=""149702.80""","=""4s2.4p4.(3P).4d""","=""4F""","=""9/2""","=""4s2.4p4.(1D).5p""","=""2F*""","=""7/2""",10,8,,"=""""","=""L7386""",
Kr,4,"=""422.123""","=""""","=""422.12+""","=""""","="" 0.00""","=""23683.11""","=""0.5""","=""""","=""""","=""""","=""""",,"=""217558.6""","=""241241.6""","=""4s2.4p2.(1D).4d""","=""2D""","=""3/2""","=""4s2.4p2.(3P).5p""","=""4D*""","=""5/2""",4,6,,"=""""","=""L7257""",
Kr,2,"=""422.220""","=""""","=""422.2194+""","=""""","=""0.001""","=""23677.7""","=""20hl""","=""""","=""""","=""""","=""""",,"=""138379.610""","=""162057.31""","=""4s2.4p4.(3P).5p""","=""4D*""","=""3/2""","=""4s2.4p4.(3P).5d""","=""4D""","=""3/2""",4,4,,"=""""","=""L7386""",
Kr,3,"=""422.535""","=""""","=""422.538+""","=""""","=""-0.003""","=""23660.02""","=""3""","=""""","=""""","=""""","=""""",,"=""198107.78""","=""221767.62""","=""4s2.4p3.(2D*).5p""","=""3P""","=""2""","=""4s2.4p3.(4S*).5d""","=""3D*""","=""3""",5,7,,"=""""","=""L7284""",
Kr,3,"=""422.592""","=""""","=""422.592+""","=""""","=""0.000""","=""23656.82""","=""20""","=""""","=""""","=""""","=""""",,"=""174450.95""","=""198107.78""","=""4s2.4p3.(2D*).4d""","=""3D*""","=""3""","=""4s2.4p3.(2D*).5p""","=""3P""","=""2""",7,5,,"=""""","=""L3356""",
Kr,3,"=""422.658""","=""""","=""422.659+""","=""""","=""-0.001""","=""23653.13""","=""25""","=""""","=""""","=""""","=""""",,"=""170202.30""","=""193855.36""","=""4s2.4p3.(2D*).4d""","=""3D*""","=""1""","=""4s2.4p3.(2D*).5p""","=""3D""","=""2""",3,5,,"=""""","=""L3356""",
Kr,2,"=""422.879""","=""""","=""422.880+""","=""""","=""-0.001""","=""23640.8""","=""20hl""","=""""","=""""","=""""","=""""",,"=""149514.06""","=""173154.78""","=""4s2.4p4.(1D).4d""","=""2D""","=""5/2""","=""4s2.4p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",6,6,,"=""""","=""L7386""",
