element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,2,"=""19.928""","=""19.927952""","=""0.000004""","=""0.000""","=""501800""","=""""","=""2.5569e+02""","=""4.5669e-01""","=""2.9961e-01""","=""-0.34038""",AAA,"=""0.0000""","=""[501807.72]""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L7397""",
Li,2,"=""""","=""20.232161""","=""0.000004""","=""""","=""494262.57""","=""""","=""3.50e-07""","=""1.07e-09""","=""3.98e+00""","=""-8.97""",A,"=""0.0000""","=""[494262.57]""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""T1494""","=""""",
Li,2,"=""20.75""","=""""","=""""","=""""","=""481900""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3160,L1992""",
Li,2,"=""""","=""21.006898""","=""0.000004""","=""""","=""476034.11""","=""""","=""2.039e-10""","=""4.047e-13""","=""2.102e-08""","=""-12.393""",AA,"=""0.0000""","=""[476034.11]""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",1,3,M1,"=""T1896""","=""""",
Li,3,"=""45.6""","=""45.55940106""","=""0.00000018""","=""0.0""","=""219000""","=""""","=""3.4769e+00""","=""2.1639e-02""","=""6.4911e-02""","=""-1.36374""",AA,"=""(740734.34169)""","=""(960228.00859)""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""L3698""",
Li,3,"=""45.6""","=""45.55961242""","=""0.00000018""","=""0.0""","=""219000""","=""""","=""1.9866e-01""","=""6.1821e-04""","=""1.8545e-03""","=""-2.90784""",AA,"=""(740734.34169)""","=""(960226.990320)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""L3698""",
Li,3,"=""45.6""","=""45.55983495""","=""0.00000019""","=""0.0""","=""219000""","=""""","=""2.3171e+00""","=""1.4421e-02""","=""4.3259e-02""","=""-1.53998""",AA,"=""(740736.4339)""","=""(960228.010455)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3698""",
Li,3,"=""45.6""","=""45.56006295""","=""0.00000019""","=""0.0""","=""219000""","=""""","=""2.3175e+00""","=""7.2117e-03""","=""2.1634e-02""","=""-1.84093""",AA,"=""(740736.4339)""","=""(960226.912020)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3698""",
Li,3,"=""45.6""","=""45.56548198""","=""0.00000018""","=""0.0""","=""219000""","=""""","=""4.1707e+00""","=""1.9473e-02""","=""1.1684e-01""","=""-1.10851""",AA,"=""(740764.0001941)""","=""(960228.37467)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""L3698""",
Li,3,"=""45.6""","=""45.56555798""","=""0.00000018""","=""0.0""","=""219000""","=""""","=""6.9501e-01""","=""2.1633e-03""","=""1.2981e-02""","=""-2.06282""",AA,"=""(740764.0001941)""","=""(960228.00859)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""L3698""",
Li,3,"=""45.6""","=""45.56576940""","=""0.00000018""","=""0.0""","=""219000""","=""""","=""3.9767e-01""","=""6.1892e-04""","=""3.7137e-03""","=""-2.60631""",AA,"=""(740764.0001941)""","=""(960226.990320)""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""L3698""",
