element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Be,3,"=""""","=""""","=""8.478087""","=""0.000004""","=""""","=""1179511.4""","=""""","=""5.2198e-03""","=""2.8124e-06""","=""1.0208e-02""","=""-5.5509""",AAA,"=""0.000""","=""[1179511.40]""","=""1s2""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
Be,3,"=""""","=""""","=""8.487603""","=""0.000004""","=""""","=""1178188.9""","=""""","=""9.27e-07""","=""5.01e-10""","=""1.37e-01""","=""-9.30""",A,"=""0.000""","=""[1178188.90]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
Be,3,"=""8.831""","=""""","=""8.830757""","=""0.000008""","=""0.000""","=""1132400""","=""50""","=""3.6166e+02""","=""1.2685e-01""","=""3.6879e-02""","=""-0.89671""",AAA,"=""0.000""","=""[1132405.8]""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L1653""",
Be,3,"=""""","=""""","=""8.838045""","=""0.000009""","=""""","=""1131472.0""","=""""","=""9.2668e-03""","=""5.4259e-06""","=""2.2310e-02""","=""-5.2655""",AAA,"=""0.000""","=""[1131472.0]""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
Be,3,"=""""","=""""","=""8.862771""","=""0.000006""","=""""","=""1128315.3""","=""""","=""2.15e-06""","=""1.27e-09""","=""3.94e-01""","=""-8.90""",A,"=""0.000""","=""[1128315.30]""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""2""",1,5,M2,"=""T5612""","=""""",
Be,1,"=""8.916""","=""0.005""","=""8.916""","=""0.005""","=""0.000""","=""1121600""","=""a,B""","=""""","=""""","=""""","=""""",,"=""0.0000""","=""1121600?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(1S).3s.4p.(1P*)?""","=""1P*?""","=""1""",1,3,,"=""""","=""L2305""",
Be,1,"=""9.024""","=""0.003""","=""9.024""","=""0.003""","=""0.000""","=""1108200""","=""a,B""","=""""","=""""","=""""","=""""",,"=""0.0000""","=""1108200?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(1S).3s.3p.(1P*)?""","=""1P*?""","=""1""",1,3,,"=""""","=""L6979""",
Be,1,"=""9.067""","=""0.005""","=""9.067""","=""0.005""","="" 0.000""","=""1102900""","=""a,B""","=""""","=""""","=""""","=""""",,"=""0.0000""","=""1102900?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(3S).3s.4p.(3P*)?""","=""1P*?""","=""1""",1,3,,"=""""","=""L2305""",
Be,2,"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""-0.008""","=""1093000""","=""a*""","=""""","=""""","=""""","=""""",,"=""31928.744""","=""1124040?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).5p""","=""2P""","=""3/2""",2,4,,"=""""","=""L12158""",
Be,2,"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""-0.008""","=""1093000""","=""a*""","=""""","=""""","=""""","=""""",,"=""31928.744""","=""1124040?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).5p""","=""2P""","=""1/2""",2,2,,"=""""","=""L12158""",
Be,2,"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""-0.008""","=""1093000""","=""a*""","=""""","=""""","=""""","=""""",,"=""31935.320""","=""1124040?""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).5p""","=""2P""","=""3/2""",4,4,,"=""""","=""L12158""",
Be,2,"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""-0.008""","=""1093000""","=""a*""","=""""","=""""","=""""","=""""",,"=""31935.320""","=""1124040?""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).5p""","=""2P""","=""1/2""",4,2,,"=""""","=""L12158""",
Be,1,"=""9.220""","=""0.003""","=""9.220""","=""0.003""","=""0.000""","=""1084600""","=""a,B""","=""""","=""""","=""""","=""""",,"=""0.0000""","=""1084600?""","=""1s2.2s2""","=""1S""","=""0""","=""1s.2s.(3S).3s.3p.(3P*)?""","=""1P*?""","=""1""",1,3,,"=""""","=""L6979""",
Be,2,"=""9.253""","=""0.006""","=""9.253""","=""0.006""","=""0.000""","=""1080700""","=""4a*""","=""""","=""""","=""""","=""""",,"=""31928.744""","=""1112700""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).4p""","=""2P""","=""3/2""",2,4,,"=""""","=""L12158""",
