element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cr,2,"=""2138.7843""","=""0.0003""","=""2138.7847""","=""0.0014""","=""-0.0004""","=""4675.5533""","=""1""","=""""","=""""","=""""","=""""",,"=""105639.4545""","=""110315.007""","=""3d4.(a 3F).4d""","=""4D""","=""3/2""","=""3d4.(5D).6p""","=""4F*""","=""5/2""",4,6,,"=""""","=""L18847""",
Cr,2,"=""2139.7702""","=""0.0005""","=""2139.7701""","=""0.0014""","=""0.0001""","=""4673.3991""","=""2""","=""""","=""""","=""""","=""""",,"=""105098.8877""","=""109772.287""","=""3d4.(5D).6s""","=""6D""","=""1/2""","=""3d4.(5D).6p""","=""6P*""","=""3/2""",2,4,,"=""""","=""L18847""",
Cr,1,"=""2145.725""","=""0.005""","=""2145.720""","=""0.006""","=""0.005""","=""4660.429""","=""2""","=""""","=""""","=""""","=""""",,"=""40982.7898""","=""45643.231""","=""3d4.(5D).4s.4p.(1P*)""","=""x 5P*""","=""2""","=""3d5.(6S).6s""","=""f 7S""","=""3""",5,7,,"=""""","=""L14866""",
Cr,1,"=""2146.461""","=""0.002""","=""2146.4606""","=""0.0004""","=""0.0004""","=""4658.831""","=""13""","=""""","=""""","=""""","=""""",,"=""28679.4239""","=""33338.2563""","=""3d5.(4D).4s""","=""a 3D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""0""",3,1,,"=""""","=""L14866""",
Cr,2,"=""2150.51446""","=""0.00014""","=""2150.5149""","=""0.0014""","=""-0.0004""","=""4650.0501""","=""5""","=""""","=""""","=""""","=""""",,"=""105446.9938""","=""110097.043""","=""3d4.(5D).6s""","=""6D""","=""7/2""","=""3d4.(5D).6p""","=""6P*""","=""7/2""",8,8,,"=""""","=""L18847""",
Cr,1,"=""2154.050""","=""0.005""","=""2154.0463""","=""0.0004""","=""0.004""","=""4642.418""","=""1""","=""""","=""""","=""""","=""""",,"=""30858.7516""","=""35501.1774""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d6""","=""c 5D""","=""3""",5,7,,"=""""","=""L14866""",
Cr,2,"=""2163.77655""","=""0.00014""","=""2163.7763""","=""0.0014""","=""0.0003""","=""4621.5493""","=""5""","=""""","=""""","=""""","=""""",,"=""105650.5251""","=""110272.075""","=""3d4.(5D).6s""","=""6D""","=""9/2""","=""3d4.(5D).6p""","=""6D*""","=""7/2""",10,8,,"=""""","=""L18847""",
Cr,1,"=""2170.357""","=""0.002""","=""2170.3558""","=""0.0005""","=""0.0012""","=""4607.537""","=""14""","=""""","=""""","=""""","=""""",,"=""30965.3799""","=""35572.9194""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d6""","=""c 5D""","=""2""",7,5,,"=""""","=""L14866""",
Cr,2,"=""2172.2530""","=""0.0004""","=""2172.2524""","=""0.0014""","=""0.0006""","=""4603.5153""","=""2""","=""""","=""""","=""""","=""""",,"=""105168.7704""","=""109772.287""","=""3d4.(5D).6s""","=""6D""","=""3/2""","=""3d4.(5D).6p""","=""6P*""","=""3/2""",4,4,,"=""""","=""L18847""",
Cr,2,"=""2183.6125""","=""0.0003""","=""2183.6123""","=""0.0014""","=""0.0002""","=""4579.5672""","=""2""","=""""","=""""","=""""","=""""",,"=""105285.3095""","=""109864.877""","=""3d4.(5D).6s""","=""6D""","=""5/2""","=""3d4.(5D).6p""","=""6P*""","=""5/2""",6,6,,"=""""","=""L18847""",
