,element,spectrum_number,wavelength_nm,intensity,log10_intensity,tags,visible
4379,Ar,2,850.0997,2.0,0.3010299956639812,None,False
4380,Ar,1,852.1442,15000.0,4.176091259055681,None,False
4381,Ar,2,854.7023,4.0,0.6020599913279624,None,False
4382,Ar,2,856.255,2.0,0.3010299956639812,None,False
4383,Ar,2,856.534,1.0,0.0,"h,s,bl?",False
4384,Ar,2,858.5262,3.0,0.47712125471966244,None,False
4385,Ar,2,859.2624,3.0,0.47712125471966244,None,False
4386,Ar,2,860.4017,7.0,0.8450980400142568,None,False
4387,Ar,1,860.5776,7.0,0.8450980400142568,None,False
4388,Ar,2,860.7611,2.0,0.3010299956639812,None,False
4390,Ar,2,862.3805,7.0,0.8450980400142568,None,False
4391,Ar,2,863.1102,1.0,0.0,None,False
4392,Ar,2,863.678,0.0,-inf,h?*,False
4393,Ar,2,863.678,0.0,-inf,h?*,False
4394,Ar,2,865.045,0.0,-inf,"w,h",False
4395,Ar,2,865.739,1.0,0.0,None,False
4396,Ar,1,866.7944,4500.0,3.6532125137753435,None,False
4397,Ar,2,867.4767,1.0,0.0,None,False
4398,Ar,2,868.099,0.0,-inf,None,False
4399,Ar,2,869.3086,2.0,0.3010299956639812,None,False
4401,Ar,2,871.6947,1.0,0.0,None,False
4402,Ar,2,871.9374,3.0,0.47712125471966244,None,False
4403,Ar,2,875.4009,2.0,0.3010299956639812,None,False
4405,Ar,2,876.8215,1.0,0.0,None,False
4406,Ar,2,877.18602,158.0,2.1986570869544226,None,False
4407,Ar,2,878.0698,8.0,0.9030899869919435,None,False
4409,Ar,2,878.839,0.0,-inf,None,False
4410,Ar,2,879.0555,1.0,0.0,None,False
4411,Ar,2,879.61407,13.0,1.1139433523068367,None,False
4413,Ar,2,880.386,1.0,0.0,None,False
4414,Ar,2,883.8009,1.0,0.0,None,False
4415,Ar,2,884.2527,1.0,0.0,None,False
4416,Ar,1,884.991,180.0,2.255272505103306,None,False
4417,Ar,2,885.0695,1.0,0.0,None,False
4418,Ar,2,886.717,2.0,0.3010299956639812,None,False
4419,Ar,2,887.0216,1.0,0.0,None,False
4420,Ar,2,887.373,0.0,-inf,None,False
4421,Ar,2,889.01495,22.0,1.3424226808222062,None,False
4422,Ar,2,889.5144,1.0,0.0,None,False
4423,Ar,2,889.92982,11.0,1.0413926851582251,None,False
4424,Ar,2,890.4512,1.0,0.0,None,False
4425,Ar,2,890.5656,68.0,1.8325089127062364,None,False
4426,Ar,2,891.5522,1.0,0.0,None,False
4427,Ar,2,892.019,10.0,1.0,bl,False
4428,Ar,2,892.6074,3.0,0.47712125471966244,None,False
4429,Ar,2,892.6819,1.0,0.0,None,False
4430,Ar,2,893.13307,32.0,1.505149978319906,None,False
4431,Ar,2,893.5448,1.0,0.0,None,False
4432,Ar,2,893.753,1.0,0.0,None,False
4434,Ar,2,896.688,0.0,-inf,None,False
4435,Ar,2,896.89495,14.0,1.146128035678238,None,False
4436,Ar,2,897.1364,59.0,1.7708520116421442,None,False
4438,Ar,2,898.66158,60.0,1.7781512503836436,None,False
4439,Ar,2,899.58638,62.0,1.792391689498254,None,False
4440,Ar,2,899.7808,31.0,1.4913616938342726,None,False
4441,Ar,2,900.177,0.0,-inf,None,False
4442,Ar,2,900.79,0.0,-inf,.5,False
4443,Ar,2,900.84569,87.0,1.9395192526186185,None,False
4444,Ar,2,901.4938,1.0,0.0,None,False
4445,Ar,2,901.75916,102.0,2.0086001717619175,None,False
4446,Ar,2,901.822,0.0,-inf,.5,False
4447,Ar,2,902.23,0.0,-inf,None,False
4448,Ar,2,903.135,1.0,0.0,None,False
4449,Ar,2,903.59204,19.0,1.2787536009528289,None,False
4450,Ar,2,905.1229,7.0,0.8450980400142568,None,False
